section,handle,keyword_or_theme,theme_bucket,count_or_handles,score,handles
per_handle_top10,@sequoia,ai,AI/ML,87,208.4849,
per_handle_top10,@sequoia,sequoia,General,64,164.6918,
per_handle_top10,@sequoia,bhalligan,General,45,129.2311,
per_handle_top10,@sequoia,alfred lin,General,33,112.3520,
per_handle_top10,@sequoia,alfred,General,28,94.3107,
per_handle_top10,@sequoia,lin,General,26,88.5198,
per_handle_top10,@sequoia,gradypb,General,26,88.5198,
per_handle_top10,@sequoia,andrew reed,General,23,86.3881,
per_handle_top10,@sequoia,ai ascent,AI/ML,23,86.3881,
per_handle_top10,@sequoia,sonyatweetybird,General,21,75.7974,
per_handle_top10,@a16z,ai,AI/ML,101,248.8713,
per_handle_top10,@a16z,a16z,General,36,110.6158,
per_handle_top10,@a16z,software,Engineering/Product,27,100.9568,
per_handle_top10,@a16z,ceo,General,27,92.4880,
per_handle_top10,@a16z,world,General,25,90.9764,
per_handle_top10,@a16z,says,General,23,80.6271,
per_handle_top10,@a16z,pmarca,General,21,75.4433,
per_handle_top10,@a16z,marc andreessen,General,19,74.3088,
per_handle_top10,@a16z,tech,General,20,72.7811,
per_handle_top10,@a16z,agents,AI/ML,19,72.0710,
per_handle_top10,@ycombinator,ai,AI/ML,108,244.3949,
per_handle_top10,@ycombinator,agents,AI/ML,50,145.4771,
per_handle_top10,@ycombinator,yc,General,44,131.1270,
per_handle_top10,@ycombinator,ai agents,AI/ML,22,84.9314,
per_handle_top10,@ycombinator,data,General,23,82.8619,
per_handle_top10,@ycombinator,teams,General,20,77.2104,
per_handle_top10,@ycombinator,agent,AI/ML,20,76.0672,
per_handle_top10,@ycombinator,companies,Startups,21,75.6565,
per_handle_top10,@ycombinator,building,Startups,21,75.6565,
per_handle_top10,@ycombinator,series,Funding/Capital,19,72.2638,
per_handle_top10,@garrytan,ai,AI/ML,62,171.8107,
per_handle_top10,@garrytan,gbrain,General,42,129.3365,
per_handle_top10,@garrytan,data,General,20,77.8074,
per_handle_top10,@garrytan,agent,AI/ML,20,74.3704,
per_handle_top10,@garrytan,code,AI/ML,18,67.9066,
per_handle_top10,@garrytan,data center,General,13,56.6849,
