handle,tweet text,date,likes,retweets
@sequoia,RT @gradypb: It is rare to see increasing product velocity at scale... but @harvey is just getting better and better thanks to @aniqued @sg…,2026-05-20T15:08:50+00:00,0,5
@sequoia,"RT @tbpn: SendCutSend founder @jimbelosic just raised $110M from @patrickc and @collision, @andrew__reed, and @matthuang to do ""the Amazon…",2026-05-20T00:14:34+00:00,0,28
@sequoia,"RT @ti_morse: My second interview with @JimBelosic, Founder of @SendCutSend.  0:15 Beating China in manufacturing requires scale 1:10 Autom…",2026-05-19T21:17:20+00:00,0,44
@sequoia,RT @biad_anas: Empowering IT is the most elegant and scalable way to deliver horizontal enterprise automation.  Listen to @jakeserval and @…,2026-05-19T21:04:54+00:00,0,1
@sequoia,RT @gradypb: Software is mostly just workflows on top of a database.  This hasn't changed.  What's changed is how those workflows are built…,2026-05-19T19:27:59+00:00,0,11
@sequoia,"RT @tanay_tandon: Alfred took a bet on us when we were 19yo kids, trying to apply AI in healthcare. He’s seen the grind through the good, b…",2026-05-19T18:42:49+00:00,0,2
@sequoia,RT @andrew__reed: Honored to back one of the most impressive founders @jimbelosic and join the board of one of the coolest companies @sendc…,2026-05-19T18:27:06+00:00,0,8
@sequoia,"RT @MollySOShea: BREAKING: Commure Hits a $7 Billion Valuation   Announcing $70M in new funding led by General Catalyst, with Sequoia &amp; Mor…",2026-05-19T18:17:04+00:00,0,34
@sequoia,RT @jamesfly: SendCutSend is building one of the most fascinating companies we’ve partnered with at @sequoia.   They are the best way to ge…,2026-05-19T17:25:17+00:00,0,2
@sequoia,RT @jimbelosic: https://t.co/Zx23OClRcO,2026-05-19T16:29:15+00:00,0,132
@sequoia,"RT @laurenmhreeder: Two of my favorite companies are joining forces today, @StainlessAPI and @AnthropicAI.   It’s been a joy to be a part o…",2026-05-18T17:17:26+00:00,0,2
@sequoia,RT @bhalligan: I had a chance to interview @jack on Long Strange Trip and then sit in on his Q&amp;A with a bunch of Sequoia founders yesterday…,2026-05-14T21:17:15+00:00,0,50
@sequoia,RT @turnkeyhq: Thrilled to announce a $12.5M strategic investment to meet accelerating demand for crypto wallets and verifiable computing.…,2026-05-14T13:58:50+00:00,0,42
@sequoia,"RT @sonyatweetybird: Claude Code and @suno have more in common than you might think: ""It's fun to build things, and it's fun to use what yo…",2026-05-13T16:43:17+00:00,0,8
@sequoia,"RT @bhalligan: When you're building a company, fires will always come. Your job isn’t racing between them, it’s mapping the territory, buil…",2026-05-13T03:18:28+00:00,0,6
@sequoia,"RT @bhalligan: With AI tools today, CEOs can either be laser focused, and say no to almost everything (like Jobs) or they can use the tools…",2026-05-09T00:09:20+00:00,0,6
@sequoia,RT @bhalligan: Every risk you take is a deposit. You don't always know when you'll cash it out.  Ex-Twitter CEO @dickc tried to get on Satu…,2026-05-08T21:59:28+00:00,0,3
@sequoia,"RT @Xbow: The offensive advantage now belongs to teams that can operationalize AI fastest. At @sequoia AI Ascent 2026, XBOW founder and CEO…",2026-05-08T16:03:23+00:00,0,4
@sequoia,"@DrJimFan ""I think our generation was born too late to explore the earth and too early to explore the stars. But we were born just in time to solve robotics.""  Thanks for another wonderful talk, @DrJimFan",2026-05-08T16:00:54+00:00,32,5
@sequoia,RT @sonyatweetybird: Our crowd favorite from last year’s AI Ascent is back for round 2… this time: Robotics The Endgame ♟️  thank you for d…,2026-05-08T15:17:12+00:00,0,6
@sequoia,"RT @DrJimFan: I promise this will be the best 20 min you spend today! Robotics: Endgame, the sequel to my last year's Sequoia AI Ascent tal…",2026-05-08T14:41:14+00:00,0,529
@sequoia,RT @unconvAI: Getting to 1000x energy efficiency in AI isn’t about one breakthrough.  It’s about solving two hard constraints: 1. Data move…,2026-05-07T21:29:09+00:00,0,13
@sequoia,RT @bhalligan: Most companies don't kill ideas by saying No. They kill them by making you ask 14 people for permission.  @dickc fixed this…,2026-05-07T19:26:33+00:00,0,20
@sequoia,RT @bhalligan: 🚨NEW PODCAST EPISODE🚨 Dick Costolo: the man who IPO'ed Twitter.  I’ve heard every Twitter war story….but never from the CEO…,2026-05-07T18:54:13+00:00,0,3
@sequoia,RT @PhilipJohnston: Fun to speak about data centers in space and @Starcloud_ at @Sequoia’s AI day a few weeks ago. Thanks for having me! 🤓…,2026-05-06T21:46:48+00:00,0,11
@sequoia,RT @annadgoldie: Had a lot of fun speaking at @sequoia ascent! It was an honor to be included in this excellent event - thanks @stephzhan a…,2026-05-06T20:07:53+00:00,0,4
@sequoia,RT @flappyairplanes: (1/5) Great to be at @sequoia to give a sneak peek of one of our research directions!   TL;DR one path to data-efficie…,2026-05-06T19:47:22+00:00,0,73
@sequoia,RT @stephzhan: So fun to host @annadgoldie and @Azaliamirh of @RicursiveAI at @sequoia AI Ascent 2026! They share the story of building Alp…,2026-05-06T19:05:46+00:00,0,4
@sequoia,"View more from AI Ascent 2026 including talks with @karpathy, @demishassabis, @DrJimFan , @dmitri_dolgov, @matiii, @bcherny here:   https://t.co/BIgzGYw9gz https://t.co/DVjrYCTlED",2026-05-06T16:39:47+00:00,18,2
@sequoia,@amspector100 @bfspector @flappyairplanes More content from AI Ascent 2026 is available here: https://t.co/h5Kvdad7Hg,2026-05-06T16:17:18+00:00,3,0
@sequoia,"@amspector100 and @bfspector of @flappyairplanes at AI Ascent 2026:  The big AI wins so far (search, coding) happen to be the most data-rich problems on earth. Almost everything else is data-poor.   Unlocking the rest of the economy will depend on drastically better data https://t.co/Ufs4IuuZ1w",2026-05-06T16:14:11+00:00,35,3
@sequoia,RT @matiii: Amazing to speak with Andrew at AI Ascent!  Andrew has been a partner and sounding board to me and the ElevenLabs team for thre…,2026-05-06T15:52:06+00:00,0,8
@sequoia,@andrew__reed @ElevenLabs @matiii Thanks @matiii for a great talk. More content from AI Ascent 2026 is available here: https://t.co/h5Kvdad7Hg,2026-05-06T15:26:20+00:00,0,0
@sequoia,RT @andrew__reed: Yesterday @ElevenLabs announced they'd crossed &gt;$500M ARR. Here's my interview with @matiii from @sequoia AI Ascent a few…,2026-05-06T15:22:56+00:00,0,10
@sequoia,RT @PlayAstrocade: Can you spot @sequoia partners and other GOATS in this silicon valley sim game? 👀   The funniest (or best) startup pitch…,2026-05-05T21:53:03+00:00,0,2
@sequoia,"RT @DavidCahn6: Five months ago, @PlayAstrocade users were playing 6M games / month (up from 0 a few months earlier).  Today, they are at 1…",2026-05-05T18:43:36+00:00,0,14
@sequoia,"RT @_amirabs: Games are the best type of storytelling, because the player is part of it.   Experience a day in Silicon Valley!  https://t.c…",2026-05-05T17:42:21+00:00,0,3
@sequoia,RT @laurenmhreeder: Our friend @bcherny created Claude Code and told me he hasn't written a line of code himself in 2026.  His team is livi…,2026-05-05T17:03:10+00:00,0,29
@sequoia,"RT @PlayAstrocade: We raised $56M to help build the next era of interactive entertainment. Series B led by @sequoia, Series A led by Sea.…",2026-05-05T16:23:18+00:00,0,102
@sequoia,@laurenmhreeder @bcherny @AnthropicAI Thanks @bcherny for a great discussion.  More content from AI Ascent 2026 is available here: https://t.co/h5Kvdad7Hg,2026-05-04T18:11:28+00:00,4,1
@sequoia,RT @demishassabis: Thanks @Konstantine and @sequoia for such a fun and wide-ranging chat! Loved the final question - von Neumann FTW 😀,2026-05-02T16:47:52+00:00,0,81
@sequoia,RT @lmcorrigan1: Dmitri is one of the most tenacious and admirable leaders in tech. His commitment to manifesting self-driving over 15+ yea…,2026-05-01T18:36:11+00:00,0,2
@sequoia,@Konstantine @dmitri_dolgov Thank you @Dmitri_Dolgov for a wonderful talk.  More content from AI Ascent 2026 available here: https://t.co/h5Kvdad7Hg,2026-05-01T17:42:36+00:00,7,0
@sequoia,RT @abhishekm1636: 20 million fully autonomous rides. Half of them in the last two months.  @dmitri_dolgov on building @Waymo through the A…,2026-05-01T17:37:14+00:00,0,2
@sequoia,RT @Konstantine: Waymo vehicles have a 13x lower rate of serious accidents than human drivers. Six generations of hardware. Thousands of in…,2026-05-01T17:23:56+00:00,0,40
@sequoia,"RT @Alfred_Lin: At @sequoia’s AI Ascent last week, @gdb told me something that stuck: in late 2024, AI wrote ~20% of @OpenAI's code. That n…",2026-04-30T22:48:38+00:00,0,10
@sequoia,@karpathy Thank you @karpathy for a wonderful talk. More content from AI Ascent 2026 available here: https://t.co/h5Kvdad7Hg,2026-04-30T18:25:56+00:00,30,6
@sequoia,RT @karpathy: Fireside chat at Sequoia Ascent 2026 from a ~week ago. Some highlights:  The first theme I tried to push on is that LLMs are…,2026-04-30T17:48:27+00:00,0,775
@sequoia,@sonyatweetybird @gradypb @Konstantine Full playlist is available here: https://t.co/h5Kvdad7Hg More videos coming soon!,2026-04-30T16:40:04+00:00,2,0
@sequoia,RT @sonyatweetybird: https://t.co/9pzUdUwv2t,2026-04-30T15:37:52+00:00,0,32
@sequoia,"RT @stephzhan: @karpathy and I are back! At @sequoia AI Ascent 2026. And a lot has changed. Last year, he coined “vibe coding”. This year,…",2026-04-29T23:03:47+00:00,0,196
@sequoia,RT @Konstantine: Sir @demishassabis has a mind for synthesis. His favorite book is about a grand theory of everything. His preferred philos…,2026-04-29T22:58:57+00:00,0,207
@sequoia,RT @paraga: We raised a Series B led by @sequoia at a $2 billion valuation and I’m excited to welcome @andrew__reed to our board.  All our…,2026-04-29T17:09:17+00:00,0,77
@sequoia,@stephzhan @karpathy Full playlist available here: https://t.co/h5Kvdad7Hg More videos will be added in the days ahead.,2026-04-29T16:20:57+00:00,20,4
@sequoia,@Konstantine @demishassabis Full playlist is available here: https://t.co/h5Kvdad7Hg More videos will be added in the days ahead.,2026-04-29T16:16:58+00:00,20,3
@sequoia,AI Ascent videos out starting tomorrow 👀 https://t.co/Nhq8uC9Fel,2026-04-27T19:52:32+00:00,136,7
@sequoia,RT @sonyatweetybird: David Silver is the brilliant mind who conquered the devilishly difficult game of Go.  The key insight: learning from…,2026-04-27T17:19:15+00:00,0,14
@sequoia,RT @Alfred_Lin: https://t.co/77BHuePAQe,2026-04-27T15:57:48+00:00,0,21
@sequoia,"RT @Xbow: Anthropic’s Mythos raised the bar for AI vuln detection but kept it invite-only.  GPT-5.5 is OpenAI’s answer, and it’s open to al…",2026-04-23T18:39:07+00:00,0,80
@sequoia,Thanks to our community for making this the best AI Ascent yet.   Stay tuned for content coming next week https://t.co/LVcKW3ngRR,2026-04-22T17:33:52+00:00,21,2
@sequoia,RT @sonyatweetybird: AI ASCENT IV 4/20/2026  Our best event yet. This year's theme: AI AT THE FRONTIER. Robots. Data centers in space. New…,2026-04-22T17:00:47+00:00,0,12
@sequoia,"RT @bhalligan: ""The worst thing is someone who thinks they're great when they're not"" https://t.co/XuF0PBC66r",2026-04-21T16:59:59+00:00,0,4
@sequoia,RT @jimgoetz: isaac @0xine just dropped one of the more thoughtful takes on mythos and the broader direction of code security. the headline…,2026-04-20T18:22:40+00:00,0,2
@sequoia,RT @bhalligan: Should computer science and basic coding still be taught in schools at all?   Should writing?  In my interview with the Pres…,2026-04-19T01:13:13+00:00,0,34
@sequoia,RT @gradypb: Most people don’t seem to understand how exceptional @matanSF is  They will soon,2026-04-16T20:35:25+00:00,0,4
@sequoia,"RT @bhalligan: 🚨🚨NEW EPISODE DROP  Sally Kornbluth, President of MIT🚨🚨  ""If you take a lick of the lollipop of mediocrity, you will suck fo…",2026-04-16T18:41:39+00:00,0,99
@sequoia,RT @jamesfly: The Droids are taking over! Huge congrats to @FactoryAI on a great round  Factory has been consistently early to understandin…,2026-04-16T17:42:47+00:00,0,4
@sequoia,RT @dougleone: Love this company!,2026-04-16T17:33:27+00:00,0,7
@sequoia,"RT @shaunmmaguire: It would have been irresponsible to dare @matanSF to drop out of school  I'd say a ""strong encouragement"" is more accura…",2026-04-16T17:20:23+00:00,0,18
@sequoia,"RT @harvey: Announcing Harvey Agents that execute legal work end-to-end.  They reason through problems and draft memos, presentations, and…",2026-04-16T17:07:40+00:00,0,11
@sequoia,"RT @NUVACOREAI: Engineered for Altitude.  CPUs iterated for decades. AI broke the model.  Founded by Gerard Williams, John Bruno, and Ram S…",2026-04-16T16:12:45+00:00,0,15
@sequoia,RT @pathak2206: Excited to announce that @SkildAI has completed the acquisition of Zebra Technologies’ robotics arm (formerly Fetch Robotic…,2026-04-16T02:22:46+00:00,0,27
@sequoia,"RT @BogieBalkansky: In an AI-first world, every company, large and small, needs to find or redefine its reason for existence. Every founder…",2026-04-15T19:44:42+00:00,0,3
@sequoia,"RT @JulienBek: For every $1 spent on software, $6 is spent on services.  Nine million implementation consultants. $500B+ in annual labour s…",2026-04-15T17:32:04+00:00,0,47
@sequoia,"RT @lmcorrigan1: Gerard, John, and Ram are a world-leading team doing incredible work to deliver maximum CPU performance. In other words, t…",2026-04-15T16:55:10+00:00,0,1
@sequoia,RT @jalehr: https://t.co/D1j20oRDRy,2026-04-15T16:51:30+00:00,0,18
@sequoia,RT @auctor: We raised $20M from @sequoia to redefine how software is deployed. https://t.co/TuWH5GDBQQ,2026-04-15T16:40:23+00:00,0,68
@sequoia,RT @sonyatweetybird: The front door to the internet hasn't changed -- but the person going through that door has changed from a human brows…,2026-04-15T16:40:12+00:00,0,3
@sequoia,RT @BradPorter_: Deployed Episode 2 is live. Watch it now   @Alfred_Lin's father was destined to be a farmer. The abacus got him a job at a…,2026-04-14T16:16:19+00:00,0,4
